pos_x,pos_y,tau_x,tau_y
0,0,0.7071067811865476,0.7071067811865475
0.0003535533905932738,0.00035355339059327376,0.7071067811865476,0.7071067811865475
0.0007071067811865476,0.0007071067811865475,0.7071067811865476,0.7071067811865475
0.0010606601717798214,0.0010606601717798212,0.7071067811865476,0.7071067811865475
0.0014142135623730952,0.001414213562373095,0.7071067811865476,0.7071067811865475
0.001767766952966369,0.0017677669529663686,0.7071067811865476,0.7071067811865475
0.002121320343559643,0.0021213203435596424,0.7071067811865476,0.7071067811865475
0.0024748737341529167,0.0024748737341529162,0.7071067811865476,0.7071067811865475
0.0028284271247461905,0.00282842712474619,0.7071067811865476,0.7071067811865475
0.0031819805153394643,0.003181980515339464,0.7071067811865476,0.7071067811865475
0.003535533905932738,0.0035355339059327372,0.7071067811865476,0.7071067811865475
0.003889087296526012,0.0038890872965260115,0.7071067811865476,0.7071067811865475
0.004242640687119286,0.004242640687119285,0.7071067811865476,0.7071067811865475
0.00459619407771256,0.004596194077712559,0.7071067811865476,0.7071067811865475
0.004949747468305833,0.0049497474683058325,0.7071067811865476,0.7071067811865475
0.005303300858899107,0.005303300858899106,0.7071067811865476,0.7071067811865475
0.005656854249492381,0.00565685424949238,0.7071067811865476,0.7071067811865475
0.006010407640085655,0.0060104076400856535,0.7071067811865476,0.7071067811865475
0.006363961030678929,0.006363961030678928,0.7071067811865476,0.7071067811865475
0.006717514421272203,0.006717514421272202,0.7071067811865476,0.7071067811865475
0.007071067811865477,0.007071067811865476,0.7071067811865476,0.7071067811865475
0.00742462120245875,0.007424621202458749,0.7071067811865476,0.7071067811865475
0.007778174593052023,0.007778174593052021,0.7071067811865476,0.7071067811865475
0.008131727983645297,0.008131727983645295,0.7071067811865476,0.7071067811865475
0.008485281374238571,0.008485281374238571,0.7071067811865476,0.7071067811865475
0.008838834764831846,0.008838834764831846,0.7071067811865476,0.7071067811865475
0.00919238815542512,0.009192388155425118,0.7071067811865476,0.7071067811865475
0.009545941546018394,0.009545941546018392,0.7071067811865476,0.7071067811865475
0.009899494936611668,0.009899494936611667,0.7071067811865476,0.7071067811865475
0.010253048327204944,0.010253048327204943,0.7071067811865476,0.7071067811865475
0.010606601717798219,0.010606601717798217,0.7071067811865476,0.7071067811865475
0.010960155108391493,0.010960155108391491,0.7071067811865476,0.7071067811865475
0.011313708498984767,0.011313708498984764,0.7071067811865476,0.7071067811865475
0.01166726188957804,0.011667261889578038,0.7071067811865476,0.7071067811865475
0.012020815280171314,0.012020815280171312,0.7071067811865476,0.7071067811865475
0.012374368670764588,0.012374368670764586,0.7071067811865476,0.7071067811865475
0.012727922061357862,0.01272792206135786,0.7071067811865476,0.7071067811865475
0.013081475451951137,0.013081475451951135,0.7071067811865476,0.7071067811865475
0.013435028842544411,0.01343502884254441,0.7071067811865476,0.7071067811865475
0.013788582233137685,0.013788582233137683,0.7071067811865476,0.7071067811865475
0.01414213562373096,0.014142135623730958,0.7071067811865476,0.7071067811865475
0.014495689014324234,0.01449568901432423,0.7071067811865476,0.7071067811865475
0.014849242404917508,0.014849242404917504,0.7071067811865476,0.7071067811865475
0.015202795795510782,0.015202795795510779,0.7071067811865476,0.7071067811865475
0.015556349186104056,0.015556349186104053,0.7071067811865476,0.7071067811865475
0.01590990257669733,0.015909902576697325,0.7071067811865476,0.7071067811865475
0.016263455967290605,0.0162634559672906,0.7071067811865476,0.7071067811865475
0.016617009357883877,0.016617009357883874,0.7071067811865476,0.7071067811865475
0.01697056274847715,0.016970562748477146,0.7071067811865476,0.7071067811865475
0.017324116139070422,0.01732411613907042,0.7071067811865476,0.7071067811865475
0.017677669529663695,0.01767766952966369,0.7071067811865476,0.7071067811865475
0.018031222920256967,0.018031222920256964,0.7071067811865476,0.7071067811865475
0.01838477631085024,0.018384776310850236,0.7071067811865476,0.7071067811865475
0.018738329701443512,0.01873832970144351,0.7071067811865476,0.7071067811865475
0.019091883092036785,0.01909188309203678,0.7071067811865476,0.7071067811865475
0.019445436482630057,0.019445436482630054,0.7071067811865476,0.7071067811865475
0.01979898987322333,0.019798989873223326,0.7071067811865476,0.7071067811865475
0.020152543263816602,0.0201525432638166,0.7071067811865476,0.7071067811865475
0.020506096654409875,0.02050609665440987,0.7071067811865476,0.7071067811865475
0.020859650045003147,0.020859650045003144,0.7071067811865476,0.7071067811865475
0.02121320343559642,0.021213203435596416,0.7071067811865476,0.7071067811865475
0.02156675682618969,0.02156675682618969,0.7071067811865476,0.7071067811865475
